"İşletme";"Doğrulama";"Ürün";"Menşe";"Gramaj (g)";"Fiyat (TL)";"TL/kg";"Stok";"Kaynak bağlantısı";"Kontrol tarihi"
"1978 Coffee Roastery";"Doğrulandı";"78 Tanışma Paketi";"Brezilya";"Erişilemedi";"1000";"Erişilemedi";"Belirsiz";"https://1978coffee.com/78-tanisma-paketi";"2026-08-11"
"1978 Coffee Roastery";"Doğrulandı";"Brazil Mogiana ( 1 Kg )";"Brezilya";"1000";"1950";"1950";"Stokta";"https://1978coffee.com/brazil-mogiana-1-kg-";"2026-08-11"
"1978 Coffee Roastery";"Doğrulandı";"Brazil Mogiana ( 1 Kg )";"Brezilya";"1000";"1000";"1000";"Belirsiz";"https://1978coffee.com/brazil-mogiana-1-kg-";"2026-08-11"
"1978 Coffee Roastery";"Doğrulandı";"Brazil Mogiana ( 250 gr )";"Brezilya";"250";"640";"2560";"Stokta";"https://1978coffee.com/brazil-mogiana-250-gr-";"2026-08-11"
"1978 Coffee Roastery";"Doğrulandı";"Brazil Mogiana ( 250 gr )";"Brezilya";"250";"1000";"4000";"Belirsiz";"https://1978coffee.com/brazil-mogiana-250-gr-";"2026-08-11"
"1978 Coffee Roastery";"Doğrulandı";"Colombia EL PARAISO";"Kolombiya";"Erişilemedi";"1000";"Erişilemedi";"Belirsiz";"https://1978coffee.com/colombia-el-paraiso";"2026-08-11"
"1978 Coffee Roastery";"Doğrulandı";"Colombia LA ROCA";"Kolombiya";"Erişilemedi";"1000";"Erişilemedi";"Belirsiz";"https://1978coffee.com/colombia-la-roca";"2026-08-11"
"1978 Coffee Roastery";"Doğrulandı";"Honduras Las Calaveras ( 1 Kg )";"Honduras";"1000";"2850";"2850";"Stokta";"https://1978coffee.com/honduras-las-calaveras-1-kg-";"2026-08-11"
"1978 Coffee Roastery";"Doğrulandı";"Honduras Las Calaveras ( 1 Kg )";"Honduras";"1000";"1000";"1000";"Belirsiz";"https://1978coffee.com/honduras-las-calaveras-1-kg-";"2026-08-11"
"1978 Coffee Roastery";"Doğrulandı";"Honduras Las Calaveras ( 250 gr )";"Honduras";"250";"840";"3360";"Stokta";"https://1978coffee.com/honduras-las-calaveras-250-gr-";"2026-08-11"
"1978 Coffee Roastery";"Doğrulandı";"Honduras Las Calaveras ( 250 gr )";"Honduras";"250";"1000";"4000";"Belirsiz";"https://1978coffee.com/honduras-las-calaveras-250-gr-";"2026-08-11"
"1978 Coffee Roastery";"Doğrulandı";"TIMEMORE Coffee Server (360 ml)";"Menşe belirtilmemiş";"Erişilemedi";"1000";"Erişilemedi";"Belirsiz";"https://1978coffee.com/timemore-coffee-server";"2026-08-11"
"1978 Coffee Roastery";"Doğrulandı";"Türk Kahvesi";"Menşe belirtilmemiş";"Erişilemedi";"1000";"Erişilemedi";"Belirsiz";"https://1978coffee.com/turk-kahvesi-1";"2026-08-11"
"A Roasting Lab";"Doğrulandı";"🎁 Türk Kahvesi 250g (HEDİYE)";"Menşe belirtilmemiş";"250";"Erişilemedi";"Erişilemedi";"Stokta";"https://aroastinglab.com/products/turkish-coffee-blend-250-gram-turk-kahvesi-sca_clone_freegift";"2026-08-11"
"A Roasting Lab";"Doğrulandı";"ARL Collective Hediye | 50g Kahve Paketi";"Menşe belirtilmemiş";"50";"115";"2300";"Stokta";"https://aroastinglab.com/products/arl-collective-hediyesi-50g-kahve";"2026-08-11"
"A Roasting Lab";"Doğrulandı";"ARL Collective Hediye | 50g Kahve Paketi";"Menşe belirtilmemiş";"50";"129";"2580";"Stokta";"https://aroastinglab.com/products/arl-collective-hediyesi-50g-kahve";"2026-08-11"
"A Roasting Lab";"Doğrulandı";"ARL Collective Hediyesi | 1000g Kahve Paketi";"Menşe belirtilmemiş";"1000";"1796.4";"1796.4";"Stokta";"https://aroastinglab.com/products/arl-collective-hediyesi-1000g-kahve-paketi";"2026-08-11"
"A Roasting Lab";"Doğrulandı";"ARL Collective Hediyesi | 1000g Kahve Paketi";"Menşe belirtilmemiş";"1000";"2149";"2149";"Stokta";"https://aroastinglab.com/products/arl-collective-hediyesi-1000g-kahve-paketi";"2026-08-11"
"A Roasting Lab";"Doğrulandı";"ARL Collective Hediyesi | 1000g Kahve Paketi";"Menşe belirtilmemiş";"1000";"1088";"1088";"Stokta";"https://aroastinglab.com/products/arl-collective-hediyesi-1000g-kahve-paketi";"2026-08-11"
